expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
採択,さいたく,채택,JLPT_1 JLPT,s|Gwzj7Z<K,議会は賛成多数で法案を採択した。,ぎかいはさんせいたすうでほうあんをさいたくした。,의회는 찬성 다수로 법안을 채택했다.
債務,さいむ,채무,JLPT_1 JLPT,qFsY_FuYW!,会社は多額の債務を抱えて倒産した。,かいしゃはたがくのさいむをかかえてとうさんした。,회사는 막대한 채무를 안고 도산했다.
遮る,さえぎる,"막다, 차단하다",JLPT_1 JLPT,`FUQe*pZQM,厚い雲が月の光を遮った。,あついくもがつきのひかりをさえぎった。,두꺼운 구름이 달빛을 가렸다.
裂く,さく,찢다,JLPT_1 JLPT,G9p0.fU/OF,古い布を細長く裂いてひもにした。,ふるいぬのをほそながくさいてひもにした。,낡은 천을 가늘고 길게 찢어 끈으로 만들었다.
削減,さくげん,삭감,JLPT_1 JLPT,!X8pvTDHkj,会社は経費を一割削減する方針だ。,かいしゃはけいひをいちわりさくげんするほうしんだ。,회사는 경비를 10퍼센트 삭감할 방침이다.
探る,さぐる,탐색하다,JLPT_1 JLPT,DTFN_0|t_9,警察は失踪者の行方を慎重に探った。,けいさつはしっそうしゃのゆくえをしんちょうにさぐった。,경찰은 실종자의 행방을 신중히 탐색했다.
避ける,さける,피하다,JLPT_1 JLPT,imb>+$mFNz,混雑を避けるため早朝に出発した。,こんざつをさけるためそうちょうにしゅっぱつした。,혼잡을 피하려고 이른 아침에 출발했다.
支える,ささえる,지탱하다,JLPT_1 JLPT,`[<*t:bvzj,多くの柱が古い屋根を支えている。,おおくのはしらがふるいやねをささえている。,많은 기둥이 낡은 지붕을 받치고 있다.
指図,さしず,"지시, 지휘",JLPT_1 JLPT,lV$7be4C.!,上司の指図どおりに荷物を運んだ。,じょうしのさしずどおりににもつをはこんだ。,상사의 지시대로 짐을 옮겼다.
錯覚,さっかく,착각,JLPT_1 JLPT,~86T1<_c^f,遠くの木を人影だと錯覚した。,とおくのきをひとかげだとさっかくした。,멀리 있는 나무를 사람 그림자로 착각했다.
殺菌,さっきん,살균,JLPT_1 JLPT,.3wOtLCFcY,調理器具を熱湯で殺菌する。,ちょうりきぐをねっとうでさっきんする。,조리 기구를 끓는 물로 살균한다.
諭す,さとす,잘 타이르다,JLPT_1 JLPT,"(|,Z/[^)9=",教師はけんかをした生徒を静かに諭した。,きょうしはけんかをしたせいとをしずかにさとした。,교사는 싸운 학생을 차분히 타일렀다.
裁く,さばく,"중재하다, 재판하다",JLPT_1 JLPT,IlmC:G@u<F,裁判官は証拠に基づいて被告を裁く。,さいばんかんはしょうこにもとづいてひこくをさばく。,재판관은 증거에 따라 피고를 재판한다.
寂しい,さびしい,쓸쓸하다,JLPT_1 JLPT,Yn-ap806Wi,一人で夕食を取るのは少し寂しい。,ひとりでゆうしょくをとるのはすこしさびしい。,혼자 저녁을 먹는 것은 조금 쓸쓸하다.
色彩,しきさい,"① 색채 ② 특색, 경향",JLPT_1 JLPT,JQ0gNb8qfJ,夕焼けが海を鮮やかな色彩で染めた。,ゆうやけがうみをあざやかなしきさいでそめた。,저녁노을이 바다를 선명한 색채로 물들였다.
自己,じこ,자기,JLPT_1 JLPT,g`m:TVRQ~H,自己の利益だけを優先してはいけない。,じこのりえきだけをゆうせんしてはいけない。,자신의 이익만 우선해서는 안 된다.
自粛,じしゅく,자숙,JLPT_1 JLPT,~6$4>sgSQB,大雪のため不要な外出を自粛した。,おおゆきのためふようながいしゅつをじしゅくした。,폭설 때문에 불필요한 외출을 자제했다.
姿勢,しせい,자세,JLPT_1 JLPT,0of!^QLwm<,背筋を伸ばして正しい姿勢を保つ。,せすじをのばしてただしいしせいをたもつ。,등을 펴고 바른 자세를 유지한다.
施設,しせつ,시설,JLPT_1 JLPT,IX|wtHl4)],駅前に新しい文化施設が完成した。,えきまえにあたらしいぶんかしせつがかんせいした。,역 앞에 새로운 문화 시설이 완공되었다.
事態,じたい,사태,JLPT_1 JLPT,TbBjV3;_$X,事態は予想以上に深刻化している。,じたいはよそういじょうにしんこくかしている。,사태는 예상보다 심각해지고 있다.
慕う,したう,"① 그리워하다, 연모하다 ② 우러르다",JLPT_1 JLPT,9B(.??Szq7,弟子たちは亡き師を今も慕っている。,でしだちはなきしをいまもしたっている。,제자들은 세상을 떠난 스승을 지금도 그리워한다.
慕われる,したわれる,존경받다,JLPT_1 JLPT,1ZC1=o`h`i,彼は温厚な人柄で部下から慕われている。,かれはおんこうなひとがらでぶかからしたわれている。,그는 온화한 인품으로 부하들에게 존경받고 있다.
実費,じっぴ,실비,JLPT_1 JLPT,1I&T7r.$a?,交通費は領収書と引き換えに実費で支給する。,こうつうひはりょうしゅうしょとひきかえにじっぴでしきゅうする。,교통비는 영수증과 교환하여 실비로 지급한다.
執筆,しっぴつ,집필,JLPT_1 JLPT,28y<JsVPM&,作家は十年かけて長編小説を執筆した。,さっかはじゅうねんかけてちょうへんしょうせつをしっぴつした。,작가는 10년에 걸쳐 장편소설을 집필했다.
芝居,しばい,"연극, 연기",JLPT_1 JLPT,6y**Z!h~jg,週末に友人と小さな劇場で芝居を見た。,しゅうまつにゆうじんとちいさなげきじょうでしばいをみた。,주말에 친구와 작은 극장에서 연극을 봤다.
視野,しや,시야,JLPT_1 JLPT,W0ds$)iiWy,海外で働いた経験から視野が広がった。,かいがいではたらいたけいけんからしやがひろがった。,해외에서 일한 경험으로 시야가 넓어졌다.
斜面,しゃめん,경사면,JLPT_1 JLPT,>wgrczi8Ov,雨で斜面が崩れ、道路が塞がれた。,あめでしゃめんがくずれ、どうろがふさがれた。,비로 경사면이 무너져 도로가 막혔다.
収益,しゅうえき,수익,JLPT_1 JLPT,kV5o?o%<^#,広告収入が会社の収益を支えている。,こうこくしゅうにゅうがかいしゃのしゅうえきをささえている。,광고 수입이 회사의 수익을 뒷받침하고 있다.
終始,しゅうし,"시종, 줄곧, 내내",JLPT_1 JLPT,sz7]-54=23,"会議中、彼は終始無言だった。","かいぎちゅう、かれはしゅうしむごんだった。",회의 내내 그는 한마디도 하지 않았다.
重視,じゅうし,중시,JLPT_1 JLPT,;eP_gYxA(.,採用では経験より意欲を重視する。,さいようではけいけんよりいよくをじゅうしする。,채용에서는 경험보다 의욕을 중시한다.
充実,じゅうじつ,충실함,JLPT_1 JLPT,s0Z+Q0u?8N,研修内容が充実していて満足できた。,けんしゅうないようがじゅうじつしていてまんぞくできた。,연수 내용이 충실해서 만족스러웠다.
執着,しゅうちゃく,집착,JLPT_1 JLPT,&#/4c&8r5g,過去の栄光に執着すると前へ進めない。,かこのえいこうにしゅうちゃくするとまえへすすめない。,과거의 영광에 집착하면 앞으로 나아갈 수 없다.
柔軟,じゅうなん,유연함,JLPT_1 JLPT,Bmmy9KkG[9,予定の変更にも柔軟に対応してください。,よていのへんこうにもじゅうなんにたいおうしてください。,일정 변경에도 유연하게 대응해 주세요.
従来,じゅうらい,종래,JLPT_1 JLPT,PkbrY*RaI8,従来の方法では時間がかかりすぎる。,じゅうらいのほうほうではじかんがかかりすぎる。,기존 방식으로는 시간이 너무 오래 걸린다.
修行,しゅぎょう,"수행(불교 본도를 닦음, 학문·기예를 연마함)",JLPT_1 JLPT,"8(L*@fc#Q,",京都で五年間、料理人として修行した。,きょうとでごねんかん、りょうりにんとしてしゅぎょうした。,교토에서 5년간 요리사로 수련했다.
祝賀会,しゅくがかい,축하 모임,JLPT_1 JLPT,K~09{fJo61,受賞者を囲んで祝賀会が開かれた。,じゅしょうしゃをかこんでしゅくがかいがひらかれた。,수상자를 둘러싸고 축하 모임이 열렸다.
趣旨,しゅし,취지,JLPT_1 JLPT,&rP/Ib{@?`,募金活動の趣旨に賛同して寄付した。,ぼきんかつどうのしゅしにさんどうしてきふした。,모금 활동의 취지에 찬동해 기부했다.
縮小,しゅくしょう,축소,JLPT_1 JLPT,EMwVXMt;Q~,利用者の減少で路線が縮小された。,りようしゃのげんしょうでろせんがしゅくしょうされた。,이용자 감소로 노선이 축소되었다.
首相,しゅしょう,수상,JLPT_1 JLPT,5nelpqo]l@,首相は記者会見で新政策を発表した。,しゅしょうはきしゃかいけんでしんせいさくをはっぴょうした。,총리는 기자 회견에서 새 정책을 발표했다.
寿命,じゅみょう,수명,JLPT_1 JLPT,5Ob!VJ8~$[,丁寧に使えば機械の寿命が延びる。,ていねいにつかえばきかいのじゅみょうがのびる。,조심해서 사용하면 기계의 수명이 늘어난다.
樹木,じゅもく,수목,JLPT_1 JLPT,m<VN*-HHL+,公園の樹木を害虫から守る。,こうえんのじゅもくをがいちゅうからまもる。,공원의 나무를 해충으로부터 지킨다.
需要,じゅよう,수요,JLPT_1 JLPT,g%X$(IVQjS,暑い日は冷たい飲料の需要が高まる。,あついひはつめたいのみもののじゅようがたかまる。,더운 날에는 차가운 음료의 수요가 높아진다.
症状,しょうじょう,증상,JLPT_1 JLPT,"tHRkouO,G3",せきと高熱の症状が三日も続いた。,せきとこうねつのしょうじょうがみっかもつづいた。,기침과 고열 증상이 사흘이나 계속되었다.
承諾,しょうだく,승낙,JLPT_1 JLPT,H6CO2VN1/B,両親から留学の承諾を得た。,りょうしんからりゅうがくのしょうだくをえた。,부모님에게 유학 승낙을 받았다.
譲歩,じょうほ,양보,JLPT_1 JLPT,mIm.#~^<TR,互いに譲歩してようやく合意に達した。,たがいにじょうほしてようやくごういにたっした。,서로 양보하여 마침내 합의에 이르렀다.
奨励,しょうれい,장려,JLPT_1 JLPT,ht$:(qqK&S,市は自転車通勤を奨励している。,しはじてんしゃつうきんをしょうれいしている。,시는 자전거 통근을 장려하고 있다.
処罰,しょばつ,처벌,JLPT_1 JLPT,f++k/.Rm`P,規則に違反した選手は厳しく処罰された。,きそくにいはんしたせんしゅはきびしくしょばつされた。,규칙을 위반한 선수는 엄하게 처벌받았다.
視力,しりょく,시력,JLPT_1 JLPT,:SZY4%Vsuk,最近、急に視力が落ちて眼鏡を作った。,さいきん、きゅうにしりょくがおちてめがねをつくった。,최근 갑자기 시력이 떨어져 안경을 맞췄다.
神経,しんけい,신경,JLPT_1 JLPT,[yc>|zW}/U,彼は細かいことに神経を使いすぎる。,かれはこまかいことにしんけいをつかいすぎる。,그는 사소한 일에 너무 신경을 쓴다.
信仰,しんこう,신앙,JLPT_1 JLPT,V>(3;{@|!m,村人は昔から山の神を信仰してきた。,むらびとはむかしからやまのかみをしんこうしてきた。,마을 사람들은 예부터 산의 신을 믿어 왔다.
振興,しんこう,진흥,JLPT_1 JLPT,c[Prn_[YGO,地域産業の振興に力を入れている。,ちいきさんぎょうのしんこうにちからをいれている。,지역 산업 진흥에 힘을 쏟고 있다.
審査,しんさ,심사,JLPT_1 JLPT,$v~E@yxekw,応募作品は三段階の審査を受ける。,おうぼさくひんはさんだんかいのしんさをうける。,응모 작품은 세 단계의 심사를 받는다.
人材,じんざい,인재,JLPT_1 JLPT,lk-]%aEQc(,海外事業に詳しい人材を採用した。,かいがいじぎょうにくわしいじんざいをさいようした。,해외 사업에 정통한 인재를 채용했다.
真珠,しんじゅ,진주,JLPT_1 JLPT,rbNeS1[p3T,母から譲られた真珠の首飾りを着けた。,ははからゆずられたしんじゅのくびかざりをつけた。,어머니에게 물려받은 진주 목걸이를 착용했다.
迅速,じんそく,신속함,JLPT_1 JLPT,B(M@8!-g6{,事故の通報に迅速に対応した。,じこのつうほうにじんそくにたいおうした。,사고 신고에 신속하게 대응했다.
慎重,しんちょう,신중함,JLPT_1 JLPT,cuGQRJM|9+,重要な契約なので慎重に判断したい。,じゅうようなけいやくなのでしんちょうにはんだんしたい。,중요한 계약이므로 신중하게 판단하고 싶다.
辛抱,しんぼう,"참음, 인내",JLPT_1 JLPT,"!DE5o,#YY6",つらくても今月末まで辛抱しよう。,つらくてもこんげつまつまでしんぼうしよう。,힘들어도 이번 달 말까지 참자.
人脈,じんみゃく,인맥,JLPT_1 JLPT,nccFwg?GQJ,幅広い人脈を生かして協力者を集めた。,はばひろいじんみゃくをいかしてきょうりょくしゃをあつめた。,폭넓은 인맥을 활용해 협력자를 모았다.
遂行,すいこう,(계획·책임 등) 수행,JLPT_1 JLPT,&[R:9h~g0+,責任を持って計画を遂行する。,せきにんをもってけいかくをすいこうする。,책임감을 갖고 계획을 수행한다.
随時,ずいじ,수시,JLPT_1 JLPT,Ir+D:RSw2l,質問は随時受け付けています。,しつもんはずいじうけつけています。,질문은 수시로 받고 있습니다.
推進,すいしん,추진,JLPT_1 JLPT,Vvht2v(]Pl,政府は再生可能エネルギーの普及を推進する。,せいふはさいせいかのうえねるぎーのふきゅうをすいしんする。,정부는 재생 가능 에너지 보급을 추진한다.
崇高,すうこう,숭고함,JLPT_1 JLPT,].=7Q^LPf4,人命を救うという崇高な使命を胸に働く。,じんめいをすくうというすうこうなしめいをむねにはたらく。,인명을 구한다는 숭고한 사명을 품고 일한다.
崇拝,すうはい,숭배,JLPT_1 JLPT,}.Oj|jxQ$;,古代の人々は太陽を神として崇拝した。,こだいのひとびとはたいようをかみとしてすうはいした。,고대 사람들은 태양을 신으로 숭배했다.
透ける,すける,"비쳐 보이다, 들여다 보이다",JLPT_1 JLPT,8ty!0}!I=`,薄いカーテン越しに人影が透けて見える。,うすいかーてんごしにひとかげがすけてみえる。,얇은 커튼 너머로 사람 모습이 비쳐 보인다.
健やか,すこやか,"튼튼함, 건전함",JLPT_1 JLPT,.U~7C7ulX=,子供たちが健やかに育つことを願う。,こどもたちがすこやかにそだつことをねがう。,아이들이 건강하게 자라기를 바란다.
筋道,すじみち,"조리, 도리",JLPT_1 JLPT,RxxNL)DomI,感情ではなく筋道を立てて説明した。,かんじょうではなくすじみちをたててせつめいした。,감정에 치우치지 않고 조리 있게 설명했다.
勧める,すすめる,권하다,JLPT_1 JLPT,^&x91OzLNH,医師は毎日歩くことを父に勧めた。,いしはまいにちあるくことをちちにすすめた。,의사는 아버지에게 매일 걸을 것을 권했다.
廃れる,すたれる,"스러지다, 유행하지 않게 되다",JLPT_1 JLPT,pxK3jSzX|Y,手紙を書く習慣は次第に廃れてきた。,てがみをかくしゅうかんはしだいにすたれてきた。,편지를 쓰는 습관은 점차 사라져 왔다.
速やか,すみやか,"재빠름, 신속함",JLPT_1 JLPT,X9/*r`(3+[,異常を発見したら速やかに報告してください。,いじょうをはっけんしたらすみやかにほうこくしてください。,이상을 발견하면 신속히 보고해 주세요.
澄む,すむ,"맑다, 맑아지다",JLPT_1 JLPT,}eyckl^=<m,雨上がりの夜空がきれいに澄んでいる。,あめあがりのよぞらがきれいにすんでいる。,비가 갠 뒤 밤하늘이 맑게 개어 있다.
盛大,せいだい,성대함,JLPT_1 JLPT,XM]gVzgGB_,創立百周年の式典が盛大に行われた。,そうりつひゃくしゅうねんのしきてんがせいだいにおこなわれた。,창립 100주년 기념식이 성대하게 열렸다.
政府筋,せいふすじ,정부 소식통,JLPT_1 JLPT,P+1sQc&&.8,政府筋によると法案は来週提出される。,せいふすじによるとほうあんはらいしゅうていしゅつされる。,정부 소식통에 따르면 법안은 다음 주 제출된다.
誓約書,せいやくしょ,서약서,JLPT_1 JLPT,_x77De89Q6,入社時に秘密保持の誓約書を提出した。,にゅうしゃじにひみつほじのせいやくしょをていしゅつした。,입사할 때 비밀 유지 서약서를 제출했다.
施錠,せじょう,자물쇠를 채움,JLPT_1 JLPT,oO2K(a:vec,退室する際は窓を閉めて施錠してください。,たいしつするさいはまどをしめてせじょうしてください。,퇴실할 때는 창문을 닫고 잠가 주세요.
是正,ぜせい,시정(잘못된 것을 바로잡음),JLPT_1 JLPT,f`-MQ<hh){,不公平な待遇を早急に是正する。,ふこうへいなたいぐうをそうきゅうにぜせいする。,불공정한 처우를 조속히 바로잡는다.
絶叫,ぜっきょう,절규,JLPT_1 JLPT,dln%J[`?!g,暗闇から突然絶叫が聞こえた。,くらやみからとつぜんぜっきょうがきこえた。,어둠 속에서 갑자기 절규가 들렸다.
設置,せっち,설치,JLPT_1 JLPT,-*scIAi##B,玄関に防犯カメラを設置した。,げんかんにぼうはんかめらをせっちした。,현관에 방범 카메라를 설치했다.
折衷,せっちゅう,절충,JLPT_1 JLPT,zT)yO*qJ3`,和風と洋風を折衷した建物が並ぶ。,わふうとようふうをせっちゅうしたたてものがならぶ。,일본식과 서양식을 절충한 건물이 늘어서 있다.
迫る,せまる,① (시각) 다가오다 ② (상태) 직면하다,JLPT_1 JLPT,9>W/Y@wl)2,試験の日が目前に迫ってきた。,しけんのひがもくぜんにせまってきた。,시험 날이 눈앞으로 다가왔다.
前途,ぜんと,"전도, 앞길",JLPT_1 JLPT,_<}NOL+/cf,卒業生の前途に幸多かれと祈る。,そつぎょうせいのぜんとにさちおおかれといのる。,졸업생의 앞날에 행복이 가득하기를 빈다.
潜伏,せんぷく,잠복,JLPT_1 JLPT,/{.CJ{y52x,犯人は山小屋に潜伏していた。,はんにんはやまごやにせんぷくしていた。,범인은 산속 오두막에 잠복해 있었다.
相互,そうご,상호,JLPT_1 JLPT,Y7M#y>VQ21,相互の理解を深めるため交流を続ける。,そうごのりかいをふかめるためこうりゅうをつづける。,상호 이해를 깊게 하려고 교류를 이어 간다.
騒然とする,そうぜんとする,시끄럽다,JLPT_1 JLPT,T^/hTB`/=M,突然の発表に会場が騒然とした。,とつぜんのはっぴょうにかいじょうがそうぜんとした。,갑작스러운 발표에 회장이 술렁였다.
相場,そうば,시세,JLPT_1 JLPT,mm&}oN}l>>,この辺りの土地の相場を調べた。,このあたりのとちのそうばをしらべた。,이 근처 땅의 시세를 알아봤다.
添える,そえる,"첨부하다, 곁들이다",JLPT_1 JLPT,*3A/I*E%~T,贈り物に短い手紙を添えた。,おくりものにみじかいてがみをそえた。,선물에 짧은 편지를 덧붙였다.
束縛,そくばく,속박,JLPT_1 JLPT,p<Ge;6X)>],厳しい規則が選手を束縛している。,きびしいきそくがせんしゅをそくばくしている。,엄격한 규칙이 선수를 속박하고 있다.
損なう,そこなう,"파손하다, 상하게 하다",JLPT_1 JLPT,"A,-lSDs3&D",不用意な発言が会社の信用を損なった。,ふよういなはつげんがかいしゃのしんようをそこなった。,부주의한 발언이 회사의 신용을 훼손했다.
素材,そざい,소재,JLPT_1 JLPT,5?81.pKP[n,竹は軽くて丈夫な建築素材だ。,たけはかるくてじょうぶなけんちくそざいだ。,대나무는 가볍고 튼튼한 건축 소재다.
阻止,そし,저지,JLPT_1 JLPT,i3G%sU;LMQ,警備員が不審者の侵入を阻止した。,けいびいんがふしんしゃのしんにゅうをそしした。,경비원이 수상한 사람의 침입을 저지했다.
訴訟,そしょう,소송,JLPT_1 JLPT,<tbo#`@t;`,契約を巡る訴訟が三年も続いた。,けいやくをめぐるそしょうがさんねんもつづいた。,계약을 둘러싼 소송이 3년이나 계속되었다.
措置,そち,"조치, 조처",JLPT_1 JLPT,ne#g;:uGDr,政府は感染拡大を防ぐ措置を講じた。,せいふはかんせんかくだいをふせぐそちをこうじた。,정부는 감염 확산을 막기 위한 조치를 취했다.
率先,そっせん,솔선,JLPT_1 JLPT,/]ECMzl)Jc,班長が率先して会場を片付けた。,はんちょうがそっせんしてかいじょうをかたづけた。,반장이 솔선해서 행사장을 정리했다.
存続,そんぞく,존속,JLPT_1 JLPT,:jqfcjehK.,資金不足で事業の存続が危ぶまれている。,しきんぶそくでじぎょうのそんぞくがあやぶまれている。,자금 부족으로 사업의 존속이 위태롭다.
互いに,たがいに,"서로, 다 함께",JLPT_1 JLPT,g<Vkftm5AN,互いに名前を呼び合って親しくなった。,たがいになまえをよびあってしたしくなった。,서로 이름을 부르며 가까워졌다.
多岐にわたる,たきにわたる,여러 갈래에 걸치다,JLPT_1 JLPT,RbzEqu$Fmj,議題は教育から福祉まで多岐にわたる。,ぎだいはきょういくからふくしまでたきにわたる。,의제는 교육부터 복지까지 여러 분야에 걸친다.
妥協,だきょう,타협,JLPT_1 JLPT,St]PZ3G<wc,交渉の末、双方が妥協案を受け入れた。,こうしょうのすえ、そうほうがだきょうあんをうけいれた。,협상 끝에 양측이 타협안을 받아들였다.
卓越,たくえつ,"탁월, 뛰어남",JLPT_1 JLPT,=4ueG+v}zM,彼女は卓越した技術で観客を魅了した。,かのじょはたくえつしたぎじゅつでかんきゃくをみりょうした。,그녀는 탁월한 기술로 관객을 사로잡았다.
託す,たくす,맡기다,JLPT_1 JLPT,",Mc(AAeiXm",将来の判断を若い世代に託した。,しょうらいのはんだんをわかいせだいにたくした。,미래의 판단을 젊은 세대에게 맡겼다.
蓄える,たくわえる,"대비해 두다, 저장하다",JLPT_1 JLPT,N)#*<K6@RK,冬に備えて薪を十分に蓄えた。,ふゆにそなえてたきぎをじゅうぶんにたくわえた。,겨울에 대비해 장작을 충분히 비축했다.
漂う,ただよう,"떠돌다, 감돌다, 표류하다",JLPT_1 JLPT,+QZguIA:8z,台所から香ばしい匂いが漂ってくる。,だいどころからこうばしいにおいがただよってくる。,부엌에서 고소한 냄새가 풍겨 온다.
脱する,だっする,벗어나다,JLPT_1 JLPT,DC|d{S-m;4,長い不況を脱して景気が回復し始めた。,ながいふきょうをだっしてけいきがかいふくしはじめた。,긴 불황에서 벗어나 경기가 회복되기 시작했다.
秩序,ちつじょ,질서,JLPT_1 JLPT,Ow*DfQgT`~,列に並んで会場の秩序を守ってください。,れつにならんでかいじょうのちつじょをまもってください。,줄을 서서 행사장의 질서를 지켜 주세요.
治癒,ちゆ,치유,JLPT_1 JLPT,/D9S<K_5cR,傷の治癒にはしばらく時間がかかる。,きずのちゆにはしばらくじかんがかかる。,상처가 치유되는 데는 당분간 시간이 걸린다.
忠告,ちゅうこく,충고,JLPT_1 JLPT,=_;Ak@o`AB,医師の忠告を無視して働き続けた。,いしのちゅうこくをむししてはたらきつづけた。,의사의 충고를 무시하고 계속 일했다.
中旬,ちゅうじゅん,중순,JLPT_1 JLPT,IZl:fY^C8p,新製品は来月中旬に発売される。,しんせいひんはらいげつちゅうじゅんにはつばいされる。,신제품은 다음 달 중순에 출시된다.
彫刻,ちょうこく,조각,JLPT_1 JLPT,"@,E#BnDLG/",広場の中央に人物の彫刻が置かれている。,ひろばのちゅうおうにじんぶつのちょうこくがおかれている。,광장 중앙에 인물 조각상이 놓여 있다.
徴収,ちょうしゅう,징수,JLPT_1 JLPT,4`{};j?Su6,自治体が住民から税金を徴収する。,じちたいがじゅうみんからぜいきんをちょうしゅうする。,지방 자치 단체가 주민에게서 세금을 징수한다.
沈下,ちんか,"침하, 물속에 가라앉음",JLPT_1 JLPT,:;fv$=r&q=,地下水のくみ上げで地盤が沈下した。,ちかすいのくみあげでじばんがちんかした。,지하수 취수로 지반이 침하했다.
沈黙,ちんもく,침묵,JLPT_1 JLPT,S]@ui1o~{V,会場は一分間の沈黙に包まれた。,かいじょうはいっぷんかんのちんもくにつつまれた。,행사장은 1분간 침묵에 휩싸였다.
陳列,ちんれつ,진열,JLPT_1 JLPT,"U@#m00xs,/",店頭に季節の商品を美しく陳列した。,てんとうにきせつのしょうひんをうつくしくちんれつした。,매장 앞에 계절 상품을 아름답게 진열했다.
費やす,ついやす,소비하다,JLPT_1 JLPT,"F^MC5c&,I,",完成までに十年の歳月を費やした。,かんせいまでにじゅうねんのさいげつをついやした。,완성까지 10년이라는 세월을 들였다.
尽くす,つくす,"다하다, 애쓰다",JLPT_1 JLPT,Gd.y&:vw3A,父は長年家族のために尽くした。,ちちはながねんかぞくのためにつくした。,아버지는 오랫동안 가족을 위해 헌신했다.
償い,つぐない,"보상, 속죄",JLPT_1 JLPT,}X^c!z_&tJ,事故の償いとして治療費を負担した。,じこのつぐないとしてちりょうひをふたんした。,사고에 대한 보상으로 치료비를 부담했다.
告げる,つげる,알리다,JLPT_1 JLPT,^1})s?;dEq,鐘の音が正午を告げた。,かねのおとがしょうごをつげた。,종소리가 정오를 알렸다.
努めて,つとめて,"애써, 되도록",JLPT_1 JLPT,*[ZV`Hq&<+,努めて冷静に話し合うよう心掛けた。,つとめてれいせいにはなしあうようこころがけた。,되도록 냉정하게 대화하려고 마음썼다.
募る,つのる,① 모집하다 ② 더해지다,JLPT_1 JLPT,"CJuH`R?,.b",大会への参加者を広く募っている。,たいかいへのさんかしゃをひろくつのっている。,대회 참가자를 널리 모집하고 있다.
貫く,つらぬく,관철하다,JLPT_1 JLPT,44ngzS!Ekg,彼は最後まで自分の信念を貫いた。,かれはさいごまでじぶんのしんねんをつらぬいた。,그는 끝까지 자신의 신념을 관철했다.
提案,ていあん,제안,JLPT_1 JLPT,OUbAg;s70O,若手社員が新しい販売方法を提案した。,わかてしゃいんがあたらしいはんばいほうほうをていあんした。,젊은 사원이 새로운 판매 방식을 제안했다.
定義,ていぎ,정의,JLPT_1 JLPT,~W[|w}y0Vt,幸福の定義は人によって異なる。,こうふくのていぎはひとによってことなる。,행복의 정의는 사람마다 다르다.
邸宅,ていたく,저택,JLPT_1 JLPT,<j~pF8PNDu,郊外に立つ古い邸宅が公開された。,こうがいにたつふるいていたくがこうかいされた。,교외에 있는 오래된 저택이 공개되었다.
手軽に,てがるに,"간편하게, 손쉽게",JLPT_1 JLPT,O7Gxa{<!ZY,冷凍食品なら手軽に調理できる。,れいとうしょくひんならてがるにちょうりできる。,냉동식품이라면 간편하게 조리할 수 있다.
手際,てぎわ,"솜씨, 수완",JLPT_1 JLPT,"0+h]|bdQn,",職人の鮮やかな手際に見とれた。,しょくにんのあざやかなてぎわにみとれた。,장인의 능숙한 솜씨에 넋을 잃고 바라봤다.
徹底,てってい,"철저, 투철",JLPT_1 JLPT,>cKRtl58+6,原因を徹底して調査する必要がある。,げんいんをてっていしてちょうさするひつようがある。,원인을 철저히 조사할 필요가 있다.
徹夜,てつや,철야,JLPT_1 JLPT,"pL,-OwMG_)",試験前に徹夜して体調を崩した。,しけんまえにてつやしてたいちょうをくずした。,시험 전에 밤을 새워 몸이 안 좋아졌다.
転換,てんかん,전환,JLPT_1 JLPT,rg+&K:fIe3,会社は事業の中心を海外へ転換した。,かいしゃはじぎょうのちゅうしんをかいがいへてんかんした。,회사는 사업의 중심을 해외로 전환했다.
典型,てんけい,전형,JLPT_1 JLPT,FpZA+GZ9o=,これは初心者が陥る典型的な失敗だ。,これはしょしんしゃがおちいるてんけいてきなしっぱいだ。,이것은 초보자가 빠지는 전형적인 실수다.
伝統的,でんとうてき,전통적,JLPT_1 JLPT,"6IQg{=@,AA",祭りでは伝統的な衣装を身に着ける。,まつりではでんとうてきないしょうをみにつける。,축제에서는 전통 의상을 입는다.
添付,てんぷ,첨부,JLPT_1 JLPT,~apCCT6N/W,申請書に本人確認書類を添付した。,しんせいしょにほんにんかくにんしょるいをてんぷした。,신청서에 본인 확인 서류를 첨부했다.
陶器,とうき,"도기, 도자기",JLPT_1 JLPT,:iUh&!IQ3J,旅先で青い模様の陶器を買った。,たびさきであおいもようのとうきをかった。,여행지에서 파란 무늬의 도자기를 샀다.
踏襲する,とうしゅうする,"답습하다, 전철을 밟다",JLPT_1 JLPT,kMeH@[|JkE,新制度は従来の手順をそのまま踏襲している。,しんせいどはじゅうらいのてじゅんをそのままとうしゅうしている。,새 제도는 기존 절차를 그대로 답습하고 있다.
尊い,とうとい,"소중하다, 귀중하다",JLPT_1 JLPT,aI52m!)Z/D,人の命は何ものにも代えがたく尊い。,ひとのいのちはなにものにもかえがたくとうとい。,사람의 생명은 무엇과도 바꿀 수 없이 소중하다.
督促,とくそく,독촉,JLPT_1 JLPT,+d^M++|4v@,支払いが遅れたため督促状が届いた。,しはらいがおくれたためとくそくじょうがとどいた。,납부가 늦어져 독촉장이 도착했다.
滞る,とどこおる,"정체되다, 막히다",JLPT_1 JLPT,26M!:KXqwH,大雪で商品の配送が滞っている。,おおゆきでしょうひんのはいそうがとどこおっている。,폭설로 상품 배송이 지연되고 있다.
