expression,reading,meaning,tags,guid
獲物,えもの,"게임, 전리품, 트로피",JLPT_1 JLPT,5*sGNpi>A
襟,えり,"목, 칼라",JLPT_1 JLPT,tRB]@ee=lY
エレガント,エレガント,우아한,JLPT_1 JLPT,efgo>`$5}C
円滑,えんかつ,"조화, 부드러움",JLPT_1 JLPT,Kb_Dvgh:lA
縁側,えんがわ,"베란다, 베란다, 발코니, 개방형 복도",JLPT_1 JLPT,wyHg^[mZl2
沿岸,えんがん,"해안, 해안",JLPT_1 JLPT,AovU9kG]Un
婉曲,えんきょく,"완곡어법적인, 간접적인, 암시적인",JLPT_1 JLPT,G;:<3(vTfF
演出,えんしゅつ,"프로덕션 (에르그. 플레이, 연출)",JLPT_1 JLPT,"wf^,)@RdCb"
エンジニア,エンジニア,엔지니어,JLPT_1 JLPT,B{mLrpXMY9
演じる,えんじる,"(일부)연주하다, 연기하다, 연기하다",JLPT_1 JLPT,"w/:3TeD,r|"
演ずる,えんずる,"(일부)연주하다, 연기하다, 연기하다",JLPT_1 JLPT,D7;+x/XKhh
沿線,えんせん,철도 노선을 따라,JLPT_1 JLPT,ALo8teWhD7
縁談,えんだん,결혼 제안,JLPT_1 JLPT,noJgGKIj8x
遠方,えんぽう,"먼 길, 먼 곳",JLPT_1 JLPT,OzC<9.M=Ar
円満,えんまん,"조화, 평화, 부드러움",JLPT_1 JLPT,Ct:pLi;{3A
追い込む,おいこむ,"무리를 몰다, 모퉁이를 돌다, 운전하다",JLPT_1 JLPT,AR1qUDM@P)
追い出す,おいだす,"추방하다, 몰아내다",JLPT_1 JLPT,"riRN3`p,`k"
於いて,おいて,"에, 에, 에",JLPT_1 JLPT,ijyE>WQ}KT
老いる,おいる,"나이가 들다, 늙어가다",JLPT_1 JLPT,Fq*tJ8V7V$
応急,おうきゅう,비상,JLPT_1 JLPT,P7w*v4FZJr
黄金,おうごん,금,JLPT_1 JLPT,mYt_k*xkZ.
往診,おうしん,"의사 방문, 왕진",JLPT_1 JLPT,KYeqnnZ=-9
応募,おうぼ,"구독, 신청",JLPT_1 JLPT,b[VDDlfAs0
おおい (かん),おおい (かん),여기요,JLPT_1 JLPT,"oI,HaDOI/S"
大方,おおかた,"거의 전부, 대다수",JLPT_1 JLPT,xJaUka+CN:
大柄,おおがら,"대형 빌드, 대형 패턴",JLPT_1 JLPT,"GWS,d=cM(:"
おおげさ,おおげさ,"거창한, 과장된",JLPT_1 JLPT,oddUsiCw^V
大筋,おおすじ,"개요, 요약",JLPT_1 JLPT,Hs`P|H+T!]
大空,おおぞら,"천국, 하늘",JLPT_1 JLPT,x&4e(F[|Hd
オートマチック,オートマチック,오토매틱,JLPT_1 JLPT,Ma<]_+LJWL
大幅,おおはば,"전체 폭, 대규모, 과감한",JLPT JLPT_1 MediaMissing,c`*FbFL7!*
おおまかな,おおまかな,"대략적인, 대략적인",JLPT_1 JLPT,h|xK)[LK#`
大水,おおみず,홍수,JLPT_1 JLPT,lHnH3YrPE%
公,おおやけ,공공의,JLPT_1 JLPT,oI.<`;>b`b
犯す,おかす,"범하다, 위반하다",JLPT_1 JLPT,r}qWP|]B{j
侵す,おかす,"침입하다, 침입하다, 침입하다",JLPT_1 JLPT,JP!&.Z9_)1
臆病,おくびょう,"비겁함, 소심함",JLPT_1 JLPT,DR9F4{>w8i
遅らす,おくらす,"지연시키다, 지연시키다",JLPT_1 JLPT,BxX=0Td:Ra
厳か,おごそか,"장엄한, 위엄 있는",JLPT_1 JLPT,k^}q{Z*:ZU
行い,おこない,"행위, 행동, 행동",JLPT_1 JLPT,EPt}Y|moZw
おごる (ゆうしょくを～),おごる (ゆうしょくを～),(누군가에게) 대접을 주다,JLPT_1 JLPT,nplO^(LG?d
収まる,おさまる,정착하다; 얻어야 할,JLPT_1 JLPT,blHU8/+m@I
納まる,おさまる,정착하다; 얻어야 할,JLPT_1 JLPT,cv8FX+R{$0
治まる,おさまる,"평화롭게 지내다, 진정시키다",JLPT_1 JLPT,vn/~]L;$eG
お産,おさん,( 낳다 ) 낳다,JLPT_1 JLPT,euz]Ka!XAe
押し切る,おしきる,자신의 길을 가지다,JLPT_1 JLPT,djU<$hJj6~
押し込む,おしこむ,"밀고 들어가다, 밀어넣다",JLPT_1 JLPT,xrb|Hb|isj
惜しむ,おしむ,"검소하다, 소중히 여기다, 후회하다",JLPT_1 JLPT,eSj?}z3f2/
押し寄せる,おしよせる,"옆으로 밀다, 앞으로 나아가다",JLPT_1 JLPT,G6S^.J|&^/
雄,おす,수컷(동물),JLPT_1 JLPT,gZ*7YqB0w(
御世辞,おせじ,"아첨, 칭찬",JLPT_1 JLPT,d$tF`<~=wO
襲う,おそう,공격하다,JLPT_1 JLPT,d*HJIF;zrC
遅くとも,おそくとも,늦어도,JLPT_1 JLPT,"p,08OPe)d%"
恐れ,おそれ,"공포, 공포",JLPT_1 JLPT,mG1{:BxE;
恐れ入る,おそれいる,"경외감으로 가득 차다, 작아진다고 느끼다",JLPT_1 JLPT,o7$@i&/e=j
おだてる,おだてる,아첨하다,JLPT_1 JLPT,"c}qANB`J7,"
落ち込む,おちこむ,우울해지다,JLPT_1 Genki_Ln.16 JLPT Genki,B0Aq~FM[^o
落ち着き,おちつき,"차분함, 침착함",JLPT_1 JLPT,"k)L1,/cgqd"
落葉,おちば,낙엽,JLPT_1 JLPT,qPS6$v<zNn
乙,おつ,순위 2위,JLPT_1 JLPT,"CTIZFIH,kM"
お使い,おつかい,심부름,JLPT_1 JLPT,"Q3Uu~eV;,,"
おっかない,おっかない,"무서운, 무서운",JLPT_1 JLPT,r<$W[mdg(3
お手上げ,おてあげ,"포기하다, 포기하다 희망",JLPT_1 JLPT,J({SY<_/!4
おどおど,おどおど,"움츠려, 머뭇거리며",JLPT_1 JLPT,hFdj&!1iUO
脅す,おどす,"협박하다, 협박하다",JLPT_1 JLPT,l9J?^6gNw8
訪れる,おとずれる,방문하다,JLPT_1 JLPT,M;`!*}::|V
お供,おとも,"수행자, 동반자",JLPT_1 JLPT,x[kh8D~cRx
衰える,おとろえる,"약해지다, 쇠퇴하다",JLPT_1 JLPT,pxXWt`7[Xh
同い年,おないどし,같은 나이의,JLPT_1 JLPT,uOL4]ka~4C
自ずから,おのずから,당연하게도 당연하게도,JLPT_1 JLPT,CsPmT^E4si
怯える,おびえる,겁을 먹다,JLPT_1 JLPT,Bil>aIK.P>
おびただしい,おびただしい,"풍부하게, 무수히",JLPT_1 JLPT,F0E@v8v<tK
脅かす,おびやかす,"위협하다, 강요하다",JLPT_1 JLPT,y}AqB/U_jH
帯びる,おびる,"맡다, 맡다, 맡기다",JLPT_1 JLPT,zXZ(?*QD)1
お袋,おふくろ,어머니,JLPT_1 JLPT,Iky=(#jNrr
覚え,おぼえ,"기억, 감각, 경험",JLPT_1 JLPT,z/W-oJ8vaW
おまけ,おまけ,할인; 추가적인 것,JLPT_1 JLPT,rsBcP;b`Jp
お宮,おみや,신사,JLPT_1 JLPT,COvUCQv?BW
おむつ,おむつ,"기저귀, 기저귀",JLPT_1 JLPT,FRkuxmL~/i
思い付き,おもいつき,"계획, 아이디어, 제안",JLPT_1 JLPT,gk=p@=>B|;
趣,おもむき,"맛,외관,기묘하다",JLPT_1 JLPT,o+otz^p(oN
赴く,おもむく,"가다, 진행하다",JLPT_1 JLPT,E5WffQ+ViL
重んじる,おもんじる,"존경하다, 존경하다, 높이 평가하다, 높이 평가하다",JLPT_1 JLPT,"gj_$ok,;mR"
重んずる,おもんずる,"존경하다, 존중하다, 소중히 여기다",JLPT_1 JLPT,c;eXv;e7cc
親父,おやじ,"아버지, 노인, 상사",JLPT_1 JLPT,g;f)J>kju#
及び,および,"그리고, 뿐만 아니라",JLPT_1 JLPT,"F5z-<*3Tg,"
及ぶ,およぶ,"도달하다, 연장하다",JLPT_1 JLPT,Lj7$<D<:Dd
折,おり,"기회, 행사",JLPT_1 JLPT,y[AaTw+T{(
檻,おり,"새장, 펜, 감옥",JLPT_1 JLPT,Lj@q6`R`I<
オリエンテーション,オリエンテーション,정위,JLPT_1 JLPT,i;fk@T:&ys
折り返す,おりかえす,"접히다, 접히다",JLPT_1 JLPT,x-(77`TIyH
織物,おりもの,"섬유, 직물",JLPT_1 JLPT,@6F9JKGsN
俺,おれ,나(ego)(자랑스러운 1인칭 대명사),JLPT_1 JLPT,M3v%b}<>}t
愚か,おろか,"바보 같은, 바보 같은",JLPT_1 JLPT,Ch>U~}L@[9
おろそか,おろそか,"방치, 태만, 부주의",JLPT_1 JLPT,H$%#VMqb~n
おんぶ,おんぶ,등에 업다 (erg. Baby),JLPT_1 JLPT,w[CU60-p%`
オンライン,オンライン,온라인,JLPT_1 JLPT,i=qSrR2s#(
温和,おんわ,"온화하다, 온화하다, 보통이다",JLPT_1 JLPT,II+hgA8I:B
我,が～,자아,JLPT_1 JLPT,KEYq:ht}?d
カーペット,カーペット,양탄자,JLPT_1 JLPT,fn]9l!yDf>
～界,～かい,"세계, 원, 왕국",JLPT_1 JLPT,d]il$5=Qs$
～街,～がい,도시,JLPT_1 JLPT,PH:pbBSE|j
改悪,かいあく,"악화, 악화로 변화",JLPT_1 JLPT,/C5*Xn=Cv
海運,かいうん,해상운송,JLPT_1 JLPT,"CDcOa:,]6U"
外貨,がいか,외화,JLPT_1 JLPT,P{MzU_0f=F
改革,かいかく,"개혁, 개혁, 혁신",JLPT_1 JLPT,"nxg,|fRPK9"
貝殻,かいがら,껍데기,JLPT_1 JLPT,rr4Z^$`(_`
外観,がいかん,"외관, 외관, 정면",JLPT_1 JLPT,JF[`}jk]g#
階級,かいきゅう,"클래스, 계급, 등급",JLPT_1 JLPT,G#*h9O@`+|
海峡,かいきょう,채널,JLPT_1 JLPT,jy18h1NAzv
会見,かいけん,"인터뷰, 컨퍼런스",JLPT_1 JLPT,umW!}@pgti
介護,かいご,육아,JLPT_1 JLPT,kEe>~$Z:bi
開催,かいさい,"회의를 열다, 전시회를 열다",JLPT_1 JLPT,%(;Yq~m~L
回収,かいしゅう,"수집, 복구",JLPT_1 JLPT,j[pPaa[c]=
改修,かいしゅう,"수리, 개선",JLPT_1 JLPT,QiUw+PPipY
怪獣,かいじゅう,괴물,JLPT_1 JLPT,r8Gl`sM7J8
解除,かいじょ,"취소, 해제, 취소",JLPT_1 JLPT,Mgd/-R9vWQ
外相,がいしょう,외상,JLPT_1 JLPT,yrLi>.nXho
害する,がいする,"해를 끼치다, 기분을 상하게 하다",JLPT_1 JLPT,Hi`w1ksG:H
概説,がいせつ,"일반 진술, 개요",JLPT_1 JLPT,nT]AQT3`Q*
回送,かいそう,전송,JLPT_1 JLPT,L?pD4!Fpg8
階層,かいそう,"클래스, 레벨, 계층, 계층",JLPT_1 JLPT,H^MD?o[__x
開拓,かいたく,"재배, 개척자",JLPT_1 JLPT,FypVZrRtNH
会談,かいだん,"대화, 인터뷰",JLPT_1 JLPT,uN=.m/8Z~3
改定,かいてい,개정,JLPT_1 JLPT,g6THSZ_v^<
改訂,かいてい,개정,JLPT_1 JLPT,v0XHWw$0B0
ガイド,ガイド,가이드,JLPT_1 JLPT,CvJbP*(I@%
街道,かいどう,고속도로,JLPT_1 JLPT,N$n&)AJVWA
該当,がいとう,"상응하는, 응답하는, 아래에 오는",JLPT_1 JLPT,nkZ}`ld7f?
街頭,がいとう,거리에서,JLPT_1 JLPT,tQu}Nu#P].
ガイドブック,ガイドブック,안내서,JLPT_1 JLPT,Eo9u]7eh((
介入,かいにゅう,간섭,JLPT_1 JLPT,pZJnTW/Kh#
概念,がいねん,"일반적인 생각, 개념, 개념",JLPT_1 JLPT,E|SNJ<R/iJ
開発,かいはつ,"개발, 착취",JLPT_1 JLPT,Kw[.UTN4^R
海抜,かいばつ,해발 높이,JLPT_1 JLPT,jLVxr@vo2y
介抱,かいほう,"간호, 돌보기",JLPT_1 JLPT,j$OYFEbGs|
解剖,かいぼう,"해부, 부검",JLPT_1 JLPT,iL)PO8n0NO
外来,がいらい,(약어) 수입 외래 진료소,JLPT_1 JLPT,~V$m/9|o}
回覧,かいらん,순환,JLPT_1 JLPT,E}}4:_!82P
概略,がいりゃく,"개요, 요약, 요점",JLPT_1 JLPT,N)qY<nUP|*
海流,かいりゅう,해류,JLPT_1 JLPT,xa/eyqaPDe
改良,かいりょう,"개선, 개혁",JLPT_1 JLPT,"v?jE,5xyr`"
回路,かいろ,회로 (전기),JLPT_1 JLPT,fdIy<8[a*F
海路,かいろ,해상 항로,JLPT_1 JLPT,t536M9u42&
省みる,かえりみる,반영하다,JLPT_1 JLPT,taa>Gm>Nxx
顧みる,かえりみる,"되돌아보다, 돌아서다, 검토하다",JLPT_1 JLPT,ho_c78W;*R
顔付き,かおつき,표정,JLPT_1 JLPT,k<|EsPF(U~
課外,かがい,과외 활동,JLPT_1 JLPT,ImdEjfLr)>
掲げる,かかげる,"게양하다, 날다(돛), 띄우다(깃발)",JLPT_1 JLPT,Q[6r`gY-ir
かかと,かかと,신발 뒤꿈치,JLPT_1 JLPT,F`djJ$owDP
書き取る,かきとる,"받아쓰기, 받아쓰기",JLPT_1 JLPT,OeW)s:B>?h
掻き回す,かきまわす,"휘젓다, 휘젓다, 방해하다",JLPT_1 JLPT,"wp9#,9/+Z4"
かく (はじを),かく (はじを),자신을 모욕하다,JLPT_1 JLPT,h*j3Yxxcj{
～画,～かく,~ 스트로크,JLPT_1 JLPT,G#l-jHUMTG
学芸,がくげい,"예술과 과학, 교양과목",JLPT_1 JLPT,xM-CyLgdV}
格差,かくさ,"차이, 차이",JLPT_1 JLPT,zvfu/3%U&J
拡散,かくさん,"산란, 확산",JLPT_1 JLPT,y__Cg;3rb:
学士,がくし,대학 졸업,JLPT_1 JLPT,Pq<3#+rCX)
各種,かくしゅ,"모든 종류, 모든 종류",JLPT_1 JLPT,Jb^Vb%.N$q
隔週,かくしゅう,격주로,JLPT_1 JLPT,QbwTj%&$c)
確信,かくしん,"확신, 확신",JLPT_1 JLPT,zEL{[Q8QNW
革新,かくしん,"개혁, 혁신",JLPT_1 JLPT,ti4?AE7Yh@
学説,がくせつ,이론,JLPT_1 JLPT,GlxSp@=1Ze
確定,かくてい,"고정, 결정",JLPT_1 JLPT,"e18p,U0K#7"
カクテル,カクテル,칵테일,JLPT_1 JLPT,"E($,YP#I6d"
獲得,かくとく,"획득, 소유",JLPT_1 JLPT,"B^,*K>>n_|"
楽譜,がくふ,"악보(음악, 악보)",JLPT_1 JLPT,qMA}9*EjCn
確保,かくほ,"보증하다, 보증하다, 확보하다",JLPT_1 JLPT,uY<*K%.TG@
革命,かくめい,혁명,JLPT_1 JLPT,O;mF68dq6Q
確立,かくりつ,설립,JLPT_1 JLPT,m(/`$&[BF3
賭,かけ,"도박, 도박, 도박",JLPT_1 JLPT,s:YO~5k/sp
掛～,かけ～,신용 거래,JLPT_1 JLPT,c#>^nQjhVy
～掛け,～かけ,"랙, 행거",JLPT_1 JLPT,"Lr[e?zZ5,<"
崖,がけ,낭떠러지,JLPT_1 JLPT,lH2H25www/
駆け足,かけあし,"빠르게 달리다, 두 배의 시간",JLPT_1 JLPT,Nd5EP#88A|
家計,かけい,"가계경제, 가계",JLPT_1 JLPT,vh}KbR&s=#
駆けっこ,かけっこ,(발) 경주,JLPT_1 JLPT,"A8,h2([S[A"
加工,かこう,"제조, 가공, 처리",JLPT_1 JLPT,E^@%K2YN]n
化合,かごう,화학적 결합,JLPT_1 JLPT,my>j<9l(Hz
かさばる,かさばる,부피가 크다,JLPT_1 JLPT,"nuG,E:/*HK"
かさむ,かさむ,"쌓이다, 늘리다",JLPT_1 JLPT,D*tj!&=/|(
箇条書,かじょうがき,"항목별 형태, 항목화",JLPT_1 JLPT,uU[=f*p0xK
頭,かしら,"머리, 수석",JLPT_1 JLPT,qKQ^U]P!d/
微か,かすか,"희미하다, 희미하다, 약하다",JLPT_1 JLPT,"iuQ;E47,]H"
霞む,かすむ,"흐릿해지다, 흐릿해지다",JLPT_1 JLPT,Muk^XW#N{G
擦る,かする,"비비다, 비비다",JLPT_1 JLPT,b*c:1ipqfg
火星,かせい,화성,JLPT_1 JLPT,hK6{i6DNme
化石,かせき,"화석, 석화, 화석화",JLPT_1 JLPT,i)2P[%uf@w
河川,かせん,강하,JLPT_1 JLPT,j9XYM<zDW5
化繊,かせん,합성섬유,JLPT_1 JLPT,A<4D0W-y5X
過疎,かそ,인구감소,JLPT_1 JLPT,C6FP<#I<*d
片～,かた～,싱글 ~,JLPT_1 JLPT,p/$/VrksK}
片言,かたこと,깨짐(말하는 스타일과 관련하여(예: 일본어)),JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,nEkc_9&ki`
傾ける,かたむける,"기울이다, 기울이다, 구부리다",JLPT_1 JLPT,g+aTq;z^TG
固める,かためる,"굳히다, 얼리다, 강화하다",JLPT_1 JLPT,M}jO{cRWN^
傍ら,かたわら,"옆에(들, 동안, 근처에)",JLPT_1 JLPT,H(u3_23(VR
花壇,かだん,화단,JLPT_1 JLPT,vyDiG-w#Vb
家畜,かちく,"가축, 가축, 소",JLPT_1 JLPT,sf(M2A{2zC
且つ,かつ,"아직, 그리고",JLPT_1 JLPT,"bxhWiXnmE,"
がっくり,がっくり,상심한,JLPT_1 JLPT,n#j+;o[:]<
合唱,がっしょう,"합창, 합창으로 노래하다",JLPT_1 JLPT,"ck-jle>!,g"
がっしり,がっしり,"굳건히, 굳건히, 터프한",JLPT_1 JLPT,Kl0>:WZG~Z
合致,がっち,"동의, 동의, 준수",JLPT_1 JLPT,Af^(s-@)C7
がっちり,がっちり,"단단하게 세워진, 단단하게 지어진",JLPT_1 JLPT,dl.]7IVV60
かつて,かつて,"한 번, 이전에, 예전에",JLPT_1 JLPT,fI;@sLyG_Q
勝手,かって,"주방; 자신의 방식, 이기심",JLPT_1 JLPT,r+VI)d1wQ0
カット,カット,"자르다, 자르다",JLPT_1 JLPT,Q+NVsyIn!c
活発,かっぱつ,"활력, 활동적",JLPT_1 JLPT,M`7Eo@!%5A
合併,がっぺい,"조합, 융합, 합병",JLPT_1 JLPT,h>=`Vc9TZZ
カテゴリー,カテゴリー,범주,JLPT_1 JLPT,JAwB1=<{pF
叶う,かなう,실현되다,JLPT_1 JLPT,E5LD5p#as=
叶える,かなえる,"(요청, 소원)을 부여하다",JLPT_1 JLPT,x!3$MxvZF0
金槌,かなづち,(철) 망치,JLPT_1 JLPT,C7&9nlfhkO
かなわない,かなわない,"자신의 힘을 넘어서다, 할 수 없다",JLPT_1 JLPT,i9$e:WA[rV
加入,かにゅう,"회원가입, 입장",JLPT_1 JLPT,"w%]Rn6,Z,X"
予て,かねて,"이전에, 이미, 최근에",JLPT_1 JLPT,i+&=;*57v}
庇う,かばう,"누군가를 보호하기 위해, 누군가를 위해&nbsp;&nbsp;은폐하기 위해",JLPT_1 JLPT,e-}GY5UR@1
株式,かぶしき,재고,JLPT_1 JLPT,nMsDO&gGxt
かぶれる,かぶれる,반응하다; 영향을 받다,JLPT_1 JLPT,C5U+~~@Gnd
花粉,かふん,화분,JLPT_1 JLPT,Gm8]&VGB-;
貨幣,かへい,"돈, 통화, 주화",JLPT_1 JLPT,F<$WXw={D<
構える,かまえる,설정하다,JLPT_1 JLPT,jB<-nj(U&|
過密,かみつ,붐비는,JLPT_1 JLPT,AOD1mkToDl
噛み切る,かみきる,"물어뜯다, 물어뜯다",JLPT_1 JLPT,"hh,VOk`A<;"
カムバック,カムバック,회복,JLPT_1 JLPT,HjHeH1>k=t
カメラマン,カメラマン,카메라맨,JLPT_1 JLPT,:MlB;<{_:
粥,かゆ,죽,JLPT_1 JLPT,fFz9w`]5pq
体付き,からだつき,"바디빌드, 피규어",JLPT_1 JLPT,D?fkTo{@|E
絡む,からむ,"얽히게 하다, 얽히게 하다",JLPT_1 JLPT,O17r;^Y(oJ
かりに,かりに,"일시적으로; 만약, 논쟁을 위해서라면",JLPT_1 JLPT,c$0g$/@+f7
カルテ,カルテ,임상 기록(GER: Karte),JLPT_1 JLPT,GwQApsAV[E
ガレージ,ガレージ,차고(집),JLPT_1 JLPT,LKr$xf+m)f
過労,かろう,"과로, 긴장",JLPT_1 JLPT,Dx#E|nd<`@
かろうじて,かろうじて,"간신히, 간신히",JLPT_1 JLPT,wzpJb%R2eZ
交す,かわす,교환하다,JLPT_1 JLPT,ytWMD-K7Sv
代る代る,かわるがわる,번갈아,JLPT_1 JLPT,Q<D|kTCMFu
簡易,かんい,"단순함, 쉬움, 유사함",JLPT_1 JLPT,Qdl&|7}97?
灌漑,かんがい,관개,JLPT_1 JLPT,x3v&{30@Ie
眼科,がんか,안과학,JLPT_1 JLPT,y$)@b7Z=25
眼球,がんきゅう,눈알,JLPT_1 JLPT,ppa9QzmFoc
玩具,がんぐ,장난감,JLPT_1 JLPT,Fu?U%1UjU`
簡潔,かんけつ,"간결함, 간결함, 단순함",JLPT_1 JLPT,Ch64u(7Zi6
還元,かんげん,"해결, 축소, 반환",JLPT_1 JLPT,b1~cd_rb8g
看護,かんご,육아,JLPT_1 JLPT,v]`cby4zI~
漢語,かんご,"한자, 한일어",JLPT_1 JLPT,BzS`z3a0wD
頑固,がんこ,"고집, 고집",JLPT_1 JLPT,iS7AjV-r.~
勧告,かんこく,"조언, 조언",JLPT_1 JLPT,ReTMd+-Cqd
換算,かんさん,"변환, 변화, 교환",JLPT_1 JLPT,V_iERi63U
監視,かんし,"관찰, 경비, 감시",JLPT_1 JLPT,xYmgA~gB7D
慣習,かんしゅう,일반적인 (역사적) 관습,JLPT_1 JLPT,xb4/I5BD9M
観衆,かんしゅう,"관중, 관객",JLPT_1 JLPT,suIg*_}y!}
願書,がんしょ,신청서,JLPT_1 JLPT,PJ0db[)2y/
干渉,かんしょう,"간섭, 개입",JLPT_1 JLPT,FlV}wK<+oD
頑丈,がんじょう,"견고한, 확고한, 강한",JLPT_1 JLPT,o)b^-Y;KL)
感触,かんしょく,"촉각, 느낌, 감각",JLPT_1 JLPT,Ll+!^%W~Bg
肝心,かんじん,"본질적인, 근본적인, 결정적인",JLPT_1 JLPT,cGezcCU7jN
肝腎,かんじん,"본질적인, 근본적인, 결정적인",JLPT_1 JLPT,qQm@vZEhuX
関税,かんぜい,"관세, 관세, 관세",JLPT_1 JLPT,J<YhnUzDH9
岩石,がんせき,바위,JLPT_1 JLPT,Fvc~*$ysUp
感染,かんせん,"감염, 전염",JLPT_1 JLPT,yaKv$j-u9~
幹線,かんせん,"본선, 간선",JLPT_1 JLPT,qnR@^N<xB(
簡素,かんそ,"단순함, 평범함",JLPT_1 JLPT,jcV8%N9G]T
観点,かんてん,관점,JLPT_1 JLPT,sRkkbw!PVn
感度,かんど,"민감도, 강도(지진)",JLPT_1 JLPT,c!Eb1-<+V1
カンニング,カンニング,"교활한, 사기꾼",JLPT_1 JLPT,f{(PYG4OSM
元年,がんねん,(특정 통치의) 첫 번째 해,JLPT_1 JLPT,hmCuQzSd35
幹部,かんぶ,"경영, 임원",JLPT_1 JLPT,L1KYyf^E^2
完ぺき,かんぺき,"완전함, 완전함, 결점이 없음",JLPT_1 JLPT,z+SJefr{>B
勘弁,かんべん,"용서, 용서, 관용",JLPT_1 JLPT,"l*Q,*Lu2Mg"
感無量,かんむりょう,감정으로 가득 찬 깊은 느낌,JLPT_1 JLPT,h`NZ!a[CSf
勧誘,かんゆう,"초대, 조사, 유인",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,fyr>KNdC{T
関与,かんよ,"참가하다, 참여하다",JLPT_1 JLPT,d<Jle/NX</
寛容,かんよう,"관용, 관용, 관대함, 참여",JLPT_1 JLPT,f|A2.V0M-n
元来,がんらい,원래는 자연스럽게,JLPT_1 JLPT,Cno5E):pRp
観覧,かんらん,보기,JLPT_1 JLPT,"A$Cx0<I,I0"
慣例,かんれい,"관습, 전례, 관습",JLPT_1 JLPT,t0a}a`u9:H
還暦,かんれき,환갑,JLPT_1 JLPT,4cAN40ulx
貫禄,かんろく,"존재감, 위엄",JLPT_1 JLPT,I1]lC*Xh&L
緩和,かんわ,"구호, 완화",JLPT_1 JLPT,"k^:RZ|u,e@"
議案,ぎあん,입법안,JLPT_1 JLPT,"I,VMbY@&-V"
危害,きがい,"부상, 피해, 위험",JLPT_1 JLPT,F>Z;`xG3Np
企画,きかく,"기획, 프로젝트",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,w*I2LS4{H:
規格,きかく,"표준, 표준",JLPT_1 JLPT,"xzs,)in_UO"
着飾る,きかざる,차려 입다,JLPT_1 JLPT,HoI9}BI#^/
気兼ね,きがね,"망설임, 자신 없음, 제약 느낌",JLPT_1 JLPT,GRlL|p}26%
気軽,きがる,"쾌활한, 활기가 넘치는, 가벼운 마음",JLPT_1 JLPT,s;sgdqP}O.
危機,きき,위기,JLPT_1 JLPT,C.^&25N@a~
聞き取り,ききとり,듣기 이해,JLPT_1 JLPT,soL?dWfD3o
効き目,ききめ,"효과, 미덕, 효능",JLPT_1 JLPT,"i,@$ZV_BJi"
帰京,ききょう,도쿄로 복귀,JLPT_1 JLPT,wzR`J2j)`0
戯曲,ぎきょく,"연극, 드라마",JLPT_1 JLPT,Dx[W!Tbqvu
基金,ききん,"기금, 재단",JLPT_1 JLPT,Jsw14fTONr
喜劇,きげき,"코미디, 재미있는 쇼",JLPT_1 JLPT,vo)8mTt@2i
議決,ぎけつ,"결의, 결정, 투표",JLPT_1 JLPT,ina$-8>Dz[
棄権,きけん,"투표를 기권하다, 권리를 포기하다",JLPT_1 JLPT,yPr@u5g:%p
既婚,きこん,기혼,JLPT_1 JLPT,"zec,ws!-1^"
気障,きざ,"가식, 자만, 속물근성",JLPT_1 JLPT,PIJe@Xxivf
記載,きさい,"언급, 입장",JLPT_1 JLPT,"AtF!,w].-2"
兆,きざし,"표시, 징조, 표시",JLPT_1 JLPT,KEdc345jt(
気質,きしつ,"성격, 성격, 기질",JLPT_1 JLPT,sH[}/atE{z
期日,きじつ,"확정일, 결산일",JLPT_1 JLPT,"v,pIo6nfY,"
きしむ,きしむ,"항아리에 넣다, 삐걱거리다, 갈다",JLPT_1 JLPT,JyV83hu3eM
議事堂,ぎじどう,다이어트 빌딩,JLPT_1 JLPT,ku.2udaM_
記述,きじゅつ,"설명하다, 설명하다",JLPT_1 JLPT,keg8V#>EyG
気象,きしょう,"날씨, 기후",JLPT_1 JLPT,i8sg{g&{j*
傷付く,きずつく,"상처를 입다, 상처를 입다, 상처를 입다",JLPT_1 JLPT,g#?]Ssa:Ux
傷付ける,きずつける,"상처를 입히다, 누군가의 감정을 상하게 하다",JLPT_1 JLPT,W04_o[&8W
犠牲,ぎせい,희생,JLPT_1 JLPT,eAtE.H0;PV
汽船,きせん,기선,JLPT_1 JLPT,"gyZ:?sW,`("
寄贈,きぞう,"기부, 발표",JLPT_1 JLPT,k3nUp@KIzg
偽造,ぎぞう,"위조, 위조, 위조",JLPT_1 JLPT,K;j2M?f~?!
貴族,きぞく,"고귀한, 귀족",JLPT_1 JLPT,inVAX<UF+i
議題,ぎだい,"토론 주제, 안건",JLPT_1 JLPT,Q@WjbgZGbs
鍛える,きたえる,"위조하다, 훈련시키다, 훈련시키다",JLPT_1 JLPT,G>3/bExrby
気立て,きだて,"성격이 좋은, 마음이 착한",JLPT_1 JLPT,h61-}t=4fL
来る,きたる,"오다, 접근하다,",JLPT_1 JLPT,s])r!JZ-b4
きちっと,きちっと,"정확하게, 완벽하게",JLPT_1 JLPT,D#t!(nebzD
几帳面,きちょうめん,"체계적인, 시간을 잘 지키는, 꾸준한",JLPT_1 JLPT,Idj9h;q|%y
きっかり,きっかり,"정확하게, 정확하게",JLPT_1 JLPT,cC(nm-eKo^
